Date,Time,Demand
2021-08-27,05:25,23784.0
2021-08-27,05:30,23994.0
2021-08-27,05:35,24239.0
2021-08-27,05:40,24619.0
2021-08-27,05:45,24879.0
2021-08-27,05:50,25087.0
2021-08-27,05:55,25360.0
2021-08-27,06:00,25594.0
2021-08-27,06:05,26113.0
2021-08-27,06:10,26534.0
2021-08-27,06:15,26891.0
2021-08-27,06:20,27164.0
