date,time,frequency
2021-08-27,06:10:30,49.961
2021-08-27,06:10:45,49.96
2021-08-27,06:11:00,49.957
2021-08-27,06:11:15,49.949
2021-08-27,06:11:30,49.958
2021-08-27,06:11:45,49.969
2021-08-27,06:12:00,49.942
2021-08-27,06:12:15,49.941
2021-08-27,06:12:30,49.952
2021-08-27,06:12:45,49.937
2021-08-27,06:13:00,49.957
2021-08-27,06:13:15,49.943
2021-08-27,06:13:30,49.939
2021-08-27,06:13:45,49.941
2021-08-27,06:14:00,49.932
2021-08-27,06:14:15,49.92
2021-08-27,06:14:30,49.935
2021-08-27,06:14:45,49.925
2021-08-27,06:15:00,49.93
2021-08-27,06:15:15,49.94
2021-08-27,06:15:30,49.95
2021-08-27,06:15:45,49.957
2021-08-27,06:16:00,49.943
2021-08-27,06:16:15,49.948
2021-08-27,06:16:30,49.964
2021-08-27,06:16:45,49.968
2021-08-27,06:17:00,49.964
2021-08-27,06:17:15,49.977
2021-08-27,06:17:30,49.973
2021-08-27,06:17:45,49.978
2021-08-27,06:18:00,49.964
2021-08-27,06:18:15,49.965
2021-08-27,06:18:30,49.965
2021-08-27,06:18:45,49.986
2021-08-27,06:19:00,49.985
2021-08-27,06:19:15,49.971
2021-08-27,06:19:30,49.968
2021-08-27,06:19:45,49.976
2021-08-27,06:20:00,49.986
2021-08-27,06:20:15,49.975
2021-08-27,06:20:30,49.98
2021-08-27,06:20:45,50.007
2021-08-27,06:21:00,50.014
2021-08-27,06:21:15,49.996
2021-08-27,06:21:30,50.006
2021-08-27,06:21:45,49.996
