demand,date,MW_Prediction
25738,2021-08-01 11:00:40,24833.982
25685,2021-08-01 11:05:39,24833.982
25761,2021-08-01 11:10:36,24833.982
25864,2021-08-01 11:15:39,24833.982
25824,2021-08-01 11:20:38,24833.982
25867,2021-08-01 11:25:36,24833.982
25938,2021-08-01 11:30:39,24833.982
25852,2021-08-01 11:35:37,24833.982
25839,2021-08-01 11:40:37,24833.982
25790,2021-08-01 11:45:37,24833.982
25788,2021-08-01 11:50:37,24833.982
25753,2021-08-01 11:55:37,24833.982
25700,2021-08-01 12:00:36,24833.982
25783,2021-08-01 12:05:38,24833.982
25862,2021-08-01 12:10:36,24833.982
25765,2021-08-01 12:15:36,24833.982
25671,2021-08-01 12:20:38,24833.982
25652,2021-08-01 12:25:35,24833.982
25642,2021-08-01 12:30:36,24833.982
25587,2021-08-01 12:35:36,24833.982
25587,2021-08-01 12:40:37,24833.982
25550,2021-08-01 12:45:36,24833.982
25486,2021-08-01 12:50:38,24833.982
25445,2021-08-01 12:55:36,24833.982
25387,2021-08-01 13:00:37,24833.982
25303,2021-08-01 13:05:36,24833.982
25409,2021-08-01 13:10:36,24833.982
25418,2021-08-01 13:15:36,24833.982
25345,2021-08-01 13:20:37,24833.982
25275,2021-08-01 13:25:37,24833.982
25265,2021-08-01 13:30:38,24833.982
25243,2021-08-01 13:35:36,24833.982
25397,2021-08-01 13:40:39,24833.982
25439,2021-08-01 13:45:36,24833.982
25457,2021-08-01 13:50:35,24833.982
25304,2021-08-01 13:55:36,24833.982
25285,2021-08-01 14:00:37,24833.982
25314,2021-08-01 14:05:36,24833.982
25493,2021-08-01 14:10:39,24833.982
25583,2021-08-01 14:15:36,24833.982
25605,2021-08-01 14:20:36,24833.982
25647,2021-08-01 14:25:36,24833.982
25616,2021-08-01 14:30:37,24833.982
25655,2021-08-01 14:35:36,24833.982
25689,2021-08-01 14:40:38,24833.982
25720,2021-08-01 14:45:36,24833.982
25814,2021-08-01 14:50:36,24833.982
26021,2021-08-01 14:55:35,24833.982
26128,2021-08-01 15:00:36,25199.62
26239,2021-08-01 15:05:37,25199.62
26301,2021-08-01 15:10:37,25199.62
26466,2021-08-01 15:15:39,25199.62
26574,2021-08-01 15:20:36,25199.62
26666,2021-08-01 15:25:39,25199.62
26766,2021-08-01 15:30:41,25199.62
26850,2021-08-01 15:35:37,25199.62
26984,2021-08-01 15:40:38,25199.62
27256,2021-08-01 15:45:39,25199.62
27544,2021-08-01 15:50:37,25199.62
27672,2021-08-01 15:55:37,25199.62
27693,2021-08-01 16:00:37,27820.5
27807,2021-08-01 16:05:36,27820.5
27846,2021-08-01 16:10:38,27820.5
