volume,date,MW_Prediction
663340.0,2019-06-14,630829.25
577390.0,2019-06-15,562559.3
546585.0,2019-06-16,558872.7
615708.0,2019-06-17,630829.25
672453.0,2019-06-18,630829.25
676264.0,2019-06-19,630829.25
629457.0,2019-06-20,630829.25
618833.0,2019-06-21,630829.25
544735.0,2019-06-22,562559.3
553579.0,2019-06-23,558872.7
663447.0,2019-06-24,630829.25
679760.0,2019-06-25,630829.25
658533.0,2019-06-26,630829.25
612883.0,2019-06-27,630829.25
594709.0,2019-06-28,630829.25
560304.0,2019-06-29,562559.3
507556.0,2019-06-30,558872.7
590459.0,2019-07-01,630829.25
634945.0,2019-07-02,630829.25
641175.0,2019-07-03,630829.25
641175.0,2019-07-03,630829.25
617388.0,2019-07-04,630829.25
613970.0,2019-07-05,630829.25
568792.0,2019-07-06,562559.3
547992.0,2019-07-07,558872.7
639408.0,2019-07-08,630829.25
668920.0,2019-07-09,630829.25
658115.0,2019-07-10,630829.25
656133.0,2019-07-11,630829.25
624712.0,2019-07-12,630829.25
572080.0,2019-07-13,562559.3
555978.0,2019-07-14,558872.7
641342.0,2019-07-15,630829.25
647567.0,2019-07-16,630829.25
651528.0,2019-07-17,630829.25
634467.0,2019-07-18,630829.25
651730.0,2019-07-19,630829.25
531848.0,2019-07-20,562559.3
522885.0,2019-07-21,558872.7
595789.0,2019-07-22,630829.25
644036.0,2019-07-23,630829.25
660843.0,2019-07-24,630829.25
670093.0,2019-07-25,630829.25
671331.0,2019-07-26,630829.25
591854.0,2019-07-27,562559.3
551923.0,2019-07-28,558872.7
619014.0,2019-07-29,630829.25
631791.0,2019-07-30,630829.25
619275.0,2019-07-31,630829.25
631856.0,2019-08-01,630829.25
623697.0,2019-08-02,630829.25
569490.0,2019-08-03,562559.3
555259.0,2019-08-04,558872.7
612024.0,2019-08-05,630829.25
616654.0,2019-08-06,630829.25
604096.0,2019-08-07,630829.25
630093.0,2019-08-08,630829.25
600480.0,2019-08-09,630829.25
518062.0,2019-08-10,562559.3
519047.0,2019-08-11,558872.7
626694.0,2019-08-12,630829.25
623632.0,2019-08-13,630829.25
673685.0,2019-08-14,630829.25
597238.0,2019-08-15,630829.25
621156.0,2019-08-16,630829.25
499674.0,2019-08-17,562559.3
488027.0,2019-08-18,558872.7
590517.0,2019-08-19,630829.25
626311.0,2019-08-20,630829.25
618808.0,2019-08-21,630829.25
610682.0,2019-08-22,630829.25
609539.0,2019-08-23,630829.25
548961.0,2019-08-24,562559.3
543826.0,2019-08-25,558872.7
578031.0,2019-08-26,630829.25
669414.0,2019-08-27,630829.25
668532.0,2019-08-28,630829.25
612835.0,2019-08-29,630829.25
582938.0,2019-08-30,630829.25
517415.0,2019-08-31,562559.3
512677.0,2019-09-01,558872.7
613287.0,2019-09-02,636227.5
634186.0,2019-09-03,636227.5
602847.0,2019-09-04,636227.5
611414.0,2019-09-05,636227.5
615641.0,2019-09-06,636227.5
574728.0,2019-09-07,567957.56
560329.0,2019-09-08,564270.94
696147.0,2019-09-09,636227.5
669707.0,2019-09-10,636227.5
635885.0,2019-09-11,636227.5
653546.0,2019-09-12,636227.5
630329.0,2019-09-13,636227.5
541481.0,2019-09-14,567957.56
558664.0,2019-09-15,564270.94
685747.0,2019-09-16,642263.9
654002.0,2019-09-17,642263.9
676803.0,2019-09-18,642263.9
671053.0,2019-09-19,642263.9
634233.0,2019-09-20,642263.9
540906.0,2019-09-21,573993.94
597150.0,2019-09-22,573321.9
660560.0,2019-09-23,647583.8
687441.0,2019-09-24,647583.8
698440.0,2019-09-25,647583.8
644925.0,2019-09-26,647583.8
643795.0,2019-09-27,647583.8
574950.0,2019-09-28,579313.94
588676.0,2019-09-29,578641.9
705106.0,2019-09-30,653942.25
698677.0,2019-10-01,653942.25
694427.0,2019-10-02,653942.25
741705.0,2019-10-03,653942.25
699007.0,2019-10-04,653942.25
643979.0,2019-10-05,589919.94
597798.0,2019-10-06,589247.9
709328.0,2019-10-07,674487.3
668379.0,2019-10-08,674487.3
682819.0,2019-10-09,674487.3
679346.0,2019-10-10,674487.3
681360.0,2019-10-11,674487.3
657025.0,2019-10-12,603935.1
662874.0,2019-10-13,603263.06
759439.0,2019-10-14,695659.06
749616.0,2019-10-15,695659.06
724702.0,2019-10-16,695659.06
737472.0,2019-10-17,695659.06
728158.0,2019-10-18,695659.06
654273.0,2019-10-19,624089.1
649016.0,2019-10-20,623417.06
765563.0,2019-10-21,695659.06
757151.0,2019-10-22,695659.06
760076.0,2019-10-23,695659.06
763044.0,2019-10-24,695659.06
756473.0,2019-10-25,695659.06
686996.0,2019-10-26,624089.1
669351.0,2019-10-27,623417.06
798179.0,2019-10-28,718012.0
795661.0,2019-10-29,729397.75
784377.0,2019-10-30,735944.8
801310.0,2019-10-31,735944.8
774989.0,2019-11-01,735944.8
687323.0,2019-11-02,671040.25
687443.0,2019-11-03,670368.2
784416.0,2019-11-04,753920.7
791117.0,2019-11-05,753920.7
834847.0,2019-11-06,753920.7
809544.0,2019-11-07,753920.7
818313.0,2019-11-08,753920.7
783126.0,2019-11-09,703765.06
737070.0,2019-11-10,703093.0
792824.0,2019-11-11,753920.7
813769.0,2019-11-12,753920.7
851882.0,2019-11-13,753920.7
846982.0,2019-11-14,753920.7
833549.0,2019-11-15,753920.7
776450.0,2019-11-16,703765.06
769810.0,2019-11-17,703093.0
852961.0,2019-11-18,763320.6
895257.0,2019-11-19,779683.94
854290.0,2019-11-20,779683.94
867909.0,2019-11-21,779683.94
843500.0,2019-11-22,776599.3
753332.0,2019-11-23,718566.0
755621.0,2019-11-24,717893.94
830442.0,2019-11-25,779683.94
822145.0,2019-11-26,779683.94
832436.0,2019-11-27,779683.94
822238.0,2019-11-28,779683.94
852003.0,2019-11-29,776599.3
807981.0,2019-11-30,718566.0
791706.0,2019-12-01,717893.94
889015.0,2019-12-02,779683.94
