price,date,MW_Prediction
64.0,2021-08-03 15:00:00,89.05462
108.8,2021-08-03 15:30:00,89.05462
139.0,2021-08-03 16:00:00,102.50521
139.0,2021-08-03 16:30:00,102.50521
134.88,2021-08-03 17:00:00,113.54589
134.88,2021-08-03 17:30:00,113.54589
130.0,2021-08-03 18:00:00,113.330215
130.0,2021-08-03 18:30:00,113.330215
130.0,2021-08-03 19:00:00,109.37952
130.0,2021-08-03 19:30:00,109.37952
125.0,2021-08-03 20:00:00,93.34122
125.0,2021-08-03 20:30:00,93.34122
125.0,2021-08-03 21:00:00,86.52811
64.15,2021-08-03 21:30:00,86.52811
118.0,2021-08-03 22:00:00,84.914764
117.8,2021-08-03 22:30:00,84.914764
112.0,2021-08-03 23:00:00,77.24696
66.33008000000001,2021-08-03 23:30:00,77.24696
108.5,2021-08-04 00:00:00,81.18828
63.670080000000006,2021-08-04 00:30:00,81.18828
111.0,2021-08-04 01:00:00,79.93379
111.0,2021-08-04 01:30:00,79.93379
111.0,2021-08-04 02:00:00,77.3698
111.0,2021-08-04 02:30:00,77.3698
111.0,2021-08-04 03:00:00,77.3698
111.0,2021-08-04 03:30:00,77.3698
111.0,2021-08-04 04:00:00,77.76273
74.6704,2021-08-04 04:30:00,77.76273
113.0,2021-08-04 05:00:00,86.01392
111.75,2021-08-04 05:30:00,86.01392
130.0,2021-08-04 06:00:00,88.773
137.0,2021-08-04 06:30:00,88.773
138.0,2021-08-04 07:00:00,95.11081
138.0,2021-08-04 07:30:00,95.11081
137.0,2021-08-04 08:00:00,95.22683
137.0,2021-08-04 08:30:00,95.22683
137.0,2021-08-04 09:00:00,95.11024
83.11,2021-08-04 09:30:00,95.11024
66.1,2021-08-04 10:00:00,94.10556
66.1,2021-08-04 10:30:00,94.10556
66.1,2021-08-04 11:00:00,93.20118
119.9,2021-08-04 11:30:00,93.20118
66.0,2021-08-04 12:00:00,91.46044
66.2,2021-08-04 12:30:00,91.46044
113.0,2021-08-04 13:00:00,89.07152
72.65,2021-08-04 13:30:00,89.07152
113.0,2021-08-04 14:00:00,88.361046
113.0,2021-08-04 14:30:00,88.361046
38.0,2021-08-04 15:00:00,91.15798
66.3,2021-08-04 15:30:00,91.15798
135.0,2021-08-04 16:00:00,104.608574
135.0,2021-08-04 16:30:00,104.608574
137.5,2021-08-04 17:00:00,115.649254
137.5,2021-08-04 17:30:00,115.649254
139.5,2021-08-04 18:00:00,115.43358
125.0,2021-08-04 18:30:00,115.43358
137.5,2021-08-04 19:00:00,111.48288
67.0,2021-08-04 19:30:00,111.48288
137.5,2021-08-04 20:00:00,95.44458
66.6,2021-08-04 20:30:00,95.44458
66.6,2021-08-04 21:00:00,88.63147
66.6,2021-08-04 21:30:00,88.63147
119.0,2021-08-04 22:00:00,87.01813
118.9,2021-08-04 22:30:00,87.01813
116.0,2021-08-04 23:00:00,79.35033
115.0,2021-08-04 23:30:00,79.35033
115.0,2021-08-05 00:00:00,82.06059
115.0,2021-08-05 00:30:00,82.06059
115.0,2021-08-05 01:00:00,80.80611
115.0,2021-08-05 01:30:00,80.80611
115.0,2021-08-05 02:00:00,78.16606
115.0,2021-08-05 02:30:00,78.16606
115.25,2021-08-05 03:00:00,78.030785
115.25,2021-08-05 03:30:00,78.030785
115.5,2021-08-05 04:00:00,78.030785
115.5,2021-08-05 04:30:00,78.030785
120.0,2021-08-05 05:00:00,86.281975
125.0,2021-08-05 05:30:00,86.281975
125.0,2021-08-05 06:00:00,89.04105
126.5,2021-08-05 06:30:00,89.04105
126.5,2021-08-05 07:00:00,95.37886
126.95,2021-08-05 07:30:00,95.37886
126.95,2021-08-05 08:00:00,95.64591
87.9504,2021-08-05 08:30:00,95.64591
126.5,2021-08-05 09:00:00,95.52932
60.1,2021-08-05 09:30:00,95.52932
60.0,2021-08-05 10:00:00,94.52464
60.1,2021-08-05 10:30:00,94.52464
123.95,2021-08-05 11:00:00,93.62026
123.95,2021-08-05 11:30:00,93.62026
122.75,2021-08-05 12:00:00,91.670296
60.54,2021-08-05 12:30:00,91.670296
54.08,2021-08-05 13:00:00,89.28137
122.75,2021-08-05 13:30:00,89.28137
122.75,2021-08-05 14:00:00,88.5709
122.35,2021-08-05 14:30:00,88.5709
120.0,2021-08-05 15:00:00,91.367836
121.23028000000001,2021-08-05 15:30:00,91.367836
120.0,2021-08-05 16:00:00,104.81843
120.0,2021-08-05 16:30:00,104.81843
119.5,2021-08-05 17:00:00,115.85911
119.1,2021-08-05 17:30:00,115.85911
118.7,2021-08-05 18:00:00,115.11405
117.5,2021-08-05 18:30:00,115.11405
118.95,2021-08-05 19:00:00,112.579994
118.5,2021-08-05 19:30:00,112.579994
118.25,2021-08-05 20:00:00,96.83227
117.5,2021-08-05 20:30:00,96.83227
117.25,2021-08-05 21:00:00,90.01916
118.25,2021-08-05 21:30:00,90.01916
118.35,2021-08-05 22:00:00,88.405815
