date,MW_Prediction
2021-08-18 00:00:00,21409.098
2021-08-18 00:05:06,21409.098
2021-08-18 00:10:12,21409.098
2021-08-18 00:15:18,21409.098
2021-08-18 00:20:24,21409.098
2021-08-18 00:25:30,21409.098
2021-08-18 00:30:36,21409.098
2021-08-18 00:35:42,21409.098
2021-08-18 00:40:48,21409.098
2021-08-18 00:45:54,21409.098
2021-08-18 00:51:00,21409.098
2021-08-18 00:56:06,21409.098
2021-08-18 01:01:12,21409.098
2021-08-18 01:06:18,21409.098
2021-08-18 01:11:24,21409.098
2021-08-18 01:16:30,21409.098
2021-08-18 01:21:36,21409.098
2021-08-18 01:26:42,21409.098
2021-08-18 01:31:48,21409.098
2021-08-18 01:36:54,21409.098
2021-08-18 01:42:00,21409.098
2021-08-18 01:47:06,21409.098
2021-08-18 01:52:12,21409.098
2021-08-18 01:57:18,21409.098
2021-08-18 02:02:24,21409.098
2021-08-18 02:07:30,21409.098
2021-08-18 02:12:36,21409.098
2021-08-18 02:17:42,21409.098
2021-08-18 02:22:48,21409.098
2021-08-18 02:27:54,21409.098
2021-08-18 02:33:00,21409.098
2021-08-18 02:38:06,21409.098
2021-08-18 02:43:12,21409.098
2021-08-18 02:48:18,21409.098
2021-08-18 02:53:24,21409.098
2021-08-18 02:58:30,21409.098
2021-08-18 03:03:36,21409.098
2021-08-18 03:08:42,21409.098
2021-08-18 03:13:48,21409.098
2021-08-18 03:18:54,21409.098
2021-08-18 03:24:00,21409.098
2021-08-18 03:29:06,21409.098
2021-08-18 03:34:12,21409.098
2021-08-18 03:39:18,21409.098
2021-08-18 03:44:24,21409.098
2021-08-18 03:49:30,21409.098
2021-08-18 03:54:36,21409.098
2021-08-18 03:59:42,21409.098
2021-08-18 04:04:48,21409.098
2021-08-18 04:09:54,21409.098
2021-08-18 04:15:00,21409.098
2021-08-18 04:20:06,21409.098
2021-08-18 04:25:12,21409.098
2021-08-18 04:30:18,21409.098
2021-08-18 04:35:24,21409.098
2021-08-18 04:40:30,21409.098
2021-08-18 04:45:36,21409.098
2021-08-18 04:50:42,21409.098
2021-08-18 04:55:48,21409.098
2021-08-18 05:00:54,22087.553
2021-08-18 05:06:00,22087.553
2021-08-18 05:11:06,22087.553
2021-08-18 05:16:12,22087.553
2021-08-18 05:21:18,22087.553
2021-08-18 05:26:24,22087.553
2021-08-18 05:31:30,22087.553
2021-08-18 05:36:36,22087.553
2021-08-18 05:41:42,22087.553
2021-08-18 05:46:48,22087.553
2021-08-18 05:51:54,22087.553
2021-08-18 05:57:00,22087.553
2021-08-18 06:02:06,26438.959
2021-08-18 06:07:12,26438.959
2021-08-18 06:12:18,26438.959
2021-08-18 06:17:24,26438.959
2021-08-18 06:22:30,26438.959
2021-08-18 06:27:36,26438.959
2021-08-18 06:32:42,26438.959
2021-08-18 06:37:48,26438.959
2021-08-18 06:42:54,26438.959
2021-08-18 06:48:00,26438.959
2021-08-18 06:53:06,26438.959
2021-08-18 06:58:12,26438.959
2021-08-18 07:03:18,29001.418
2021-08-18 07:08:24,29001.418
2021-08-18 07:13:30,29001.418
2021-08-18 07:18:36,29001.418
2021-08-18 07:23:42,29001.418
2021-08-18 07:28:48,29001.418
2021-08-18 07:33:54,29001.418
2021-08-18 07:39:00,29001.418
2021-08-18 07:44:06,29001.418
2021-08-18 07:49:12,29001.418
2021-08-18 07:54:18,29001.418
2021-08-18 07:59:24,29001.418
2021-08-18 08:04:30,29451.322
2021-08-18 08:09:36,29451.322
2021-08-18 08:14:42,29451.322
2021-08-18 08:19:48,29451.322
2021-08-18 08:24:54,29451.322
2021-08-18 08:30:00,29451.322
2021-08-18 08:35:06,29451.322
2021-08-18 08:40:12,29451.322
2021-08-18 08:45:18,29451.322
2021-08-18 08:50:24,29451.322
2021-08-18 08:55:30,29451.322
2021-08-18 09:00:36,29451.322
2021-08-18 09:05:42,29451.322
2021-08-18 09:10:48,29451.322
2021-08-18 09:15:54,29451.322
2021-08-18 09:21:00,29451.322
2021-08-18 09:26:06,29451.322
2021-08-18 09:31:12,29451.322
2021-08-18 09:36:18,29451.322
2021-08-18 09:41:24,29451.322
2021-08-18 09:46:30,29451.322
2021-08-18 09:51:36,29451.322
2021-08-18 09:56:42,29451.322
2021-08-18 10:01:48,29451.322
2021-08-18 10:06:54,29451.322
2021-08-18 10:12:00,29451.322
2021-08-18 10:17:06,29451.322
2021-08-18 10:22:12,29451.322
2021-08-18 10:27:18,29451.322
2021-08-18 10:32:24,29451.322
2021-08-18 10:37:30,29451.322
2021-08-18 10:42:36,29451.322
2021-08-18 10:47:42,29451.322
2021-08-18 10:52:48,29451.322
2021-08-18 10:57:54,29451.322
2021-08-18 11:03:00,29451.322
2021-08-18 11:08:06,29451.322
2021-08-18 11:13:12,29451.322
2021-08-18 11:18:18,29451.322
2021-08-18 11:23:24,29451.322
2021-08-18 11:28:30,29451.322
2021-08-18 11:33:36,29451.322
2021-08-18 11:38:42,29451.322
2021-08-18 11:43:48,29451.322
2021-08-18 11:48:54,29451.322
2021-08-18 11:54:00,29451.322
2021-08-18 11:59:06,29451.322
2021-08-18 12:04:12,29451.322
2021-08-18 12:09:18,29451.322
2021-08-18 12:14:24,29451.322
2021-08-18 12:19:30,29451.322
2021-08-18 12:24:36,29451.322
2021-08-18 12:29:42,29451.322
2021-08-18 12:34:48,29451.322
2021-08-18 12:39:54,29451.322
2021-08-18 12:45:00,29451.322
2021-08-18 12:50:06,29451.322
2021-08-18 12:55:12,29451.322
2021-08-18 13:00:18,29451.322
2021-08-18 13:05:24,29451.322
2021-08-18 13:10:30,29451.322
2021-08-18 13:15:36,29451.322
2021-08-18 13:20:42,29451.322
2021-08-18 13:25:48,29451.322
2021-08-18 13:30:54,29451.322
2021-08-18 13:36:00,29451.322
2021-08-18 13:41:06,29451.322
2021-08-18 13:46:12,29451.322
2021-08-18 13:51:18,29451.322
2021-08-18 13:56:24,29451.322
2021-08-18 14:01:30,29451.322
2021-08-18 14:06:36,29451.322
2021-08-18 14:11:42,29451.322
2021-08-18 14:16:48,29451.322
2021-08-18 14:21:54,29451.322
2021-08-18 14:27:00,29451.322
2021-08-18 14:32:06,29451.322
2021-08-18 14:37:12,29451.322
2021-08-18 14:42:18,29451.322
2021-08-18 14:47:24,29451.322
2021-08-18 14:52:30,29451.322
2021-08-18 14:57:36,29451.322
2021-08-18 15:02:42,29661.68
2021-08-18 15:07:48,29661.68
2021-08-18 15:12:54,29661.68
2021-08-18 15:18:00,29661.68
2021-08-18 15:23:06,29661.68
2021-08-18 15:28:12,29661.68
2021-08-18 15:33:18,29661.68
2021-08-18 15:38:24,29661.68
2021-08-18 15:43:30,29661.68
2021-08-18 15:48:36,29661.68
2021-08-18 15:53:42,29661.68
2021-08-18 15:58:48,29661.68
2021-08-18 16:03:54,30744.23
2021-08-18 16:09:00,30744.23
2021-08-18 16:14:06,30744.23
2021-08-18 16:19:12,30744.23
2021-08-18 16:24:18,30744.23
2021-08-18 16:29:24,30744.23
2021-08-18 16:34:30,30744.23
2021-08-18 16:39:36,30744.23
2021-08-18 16:44:42,30744.23
2021-08-18 16:49:48,30744.23
2021-08-18 16:54:54,30744.23
2021-08-18 17:00:00,30744.23
2021-08-18 17:05:06,30744.23
2021-08-18 17:10:12,30744.23
2021-08-18 17:15:18,30744.23
